ch,type,rms_uV,ptp_uV,maxabs_uV
Fp1,eeg,26.106823,120.851453,75.074388
Fp2,eeg,27.436302,127.687495,73.121233
F3,eeg,12.804505,82.764935,45.532921
F4,eeg,12.957148,88.624399,47.241932
C3,eeg,17.600949,89.112688,57.495995
C4,eeg,26.239723,59.571221,59.449149
P3,eeg,29.113836,100.099184,55.054551
P4,eeg,21.633484,90.821698,45.532921
O1,eeg,28.068684,124.269474,79.468986
O2,eeg,21.376062,110.353246,62.134737
F7,eeg,28.672054,140.383001,93.141070
F8,eeg,24.681539,142.092012,82.154574
T3,eeg,13.822502,94.239719,47.486076
T4,eeg,8.600976,76.417182,46.021210
T5,eeg,32.471693,121.095598,76.783398
T6,eeg,28.014363,105.226215,58.960861
FZ,eeg,21.108696,96.925307,49.439231
CZ,eeg,13.804777,93.751431,47.486076
PZ,eeg,17.955353,86.671244,46.265354
SO1,eeg,28.126862,125.001907,78.980697
SO2,eeg,29.551553,163.820859,84.596017
F9,eeg,36.763191,182.619974,123.659113
F10,eeg,29.723146,187.747005,101.686122
ZY1,eeg,19.585717,120.119020,68.482490
ZY2,eeg,31.543215,130.373083,83.131151
T9,eeg,26.366101,114.259556,71.168078
T10,eeg,21.088990,107.179370,61.158160
P9,eeg,32.741139,130.617227,86.793317
P10,eeg,17.564100,103.028916,56.275273
AF7,eeg,32.292774,207.034409,128.053712
AF3,eeg,29.409436,127.443351,83.619440
F11,eeg,28.744319,167.971313,111.940185
F5,eeg,19.365734,131.837949,79.957275
F1,eeg,27.455532,118.165866,70.679789
FT11,eeg,35.218716,154.543374,113.649195
FT9,eeg,26.589375,182.375830,111.696040
FT7,eeg,20.624082,155.031662,87.769894
FC5,eeg,18.193486,116.212711,73.365377
FC3,eeg,25.540472,116.212711,70.923934
FC1,eeg,30.175750,118.898299,71.412222
FCZ,eeg,20.765036,110.597391,64.820325
C5,eeg,23.905136,118.654154,76.539254
C1,eeg,29.884314,127.931640,82.642863
TP11,eeg,32.668582,152.346075,110.231174
TP9,eeg,32.398976,149.172198,108.766308
TP7,eeg,17.857112,122.560464,78.004120
CP3,eeg,16.205628,104.249638,62.378882
CP1,eeg,24.253622,113.527123,69.947356
P11,eeg,34.624061,168.947890,119.752804
P5,eeg,25.219936,126.710918,84.596017
P1,eeg,27.953613,123.048753,79.468986
PO7,eeg,33.400312,148.195621,105.592432
PO3,eeg,27.852263,130.617227,88.258183
POZ,eeg,18.618971,121.339742,77.027543
OZ,eeg,37.529203,172.610056,113.649195
FPZ,eeg,25.620812,155.519951,101.686122
AFZ,eeg,17.339103,114.015412,60.181582
AF4,eeg,19.149439,119.630732,67.261769
AF8,eeg,31.589848,204.348821,114.381628
F2,eeg,20.561802,111.573968,58.472572
F6,eeg,24.724986,144.045167,94.361791
F12,eeg,27.733288,160.402838,107.789731
FC2,eeg,19.588222,109.376669,60.669871
FC4,eeg,24.379805,119.874876,71.168078
FC6,eeg,44.836058,117.921721,94.117647
FT8,eeg,18.135443,127.931640,80.201419
FT10,eeg,20.307481,140.871290,92.652781
FT12,eeg,17.381649,129.396506,82.642863
C6,eeg,14.362999,106.691081,58.716716
C2,eeg,16.151312,103.028916,55.542840
CPZ,eeg,27.198432,118.410010,73.365377
CP2,eeg,22.083577,112.306401,65.796902
CP4,eeg,30.673639,119.630732,73.609522
CP6,eeg,13.130028,99.855039,53.589685
TP8,eeg,24.615973,127.199207,80.933852
TP10,eeg,40.119090,153.810941,107.301442
TP12,eeg,30.864119,157.717250,106.324865
P2,eeg,29.520344,124.513619,77.271687
P6,eeg,20.542215,118.898299,73.121233
P12,eeg,40.919534,159.670405,116.823072
PO4,eeg,23.664454,128.908217,81.666285
PO8,eeg,24.888929,133.791104,86.060883
ChEMG1,emg,76152123.260063,404974441.138323,262912947.280080
ChEMG2,emg,120934206.721433,511787594.415198,409094377.050430
RLEG-,emg,866856510.380767,6382543678.950180,3199969481.956206
RLEG+,emg,210198355.176058,2350804913.405051,1909666590.371558
LLEG-,emg,96310524.217370,505683985.656519,319676508.735789
LLEG+,emg,55754471.639351,323491264.209964,166170748.455025
ECG1,ecg,43791595.396642,303349355.306325,174410620.279241
EOG1,eog,58913583.916446,333867399.099718,222323949.034868
ECG2,ecg,183.950461,1756.862745,1384.420539
EOG2,eog,69.195469,389.166094,264.286259
CP5,eeg,19.092276,111.818112,69.703212
